job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,salary_disclosed,work_mode,company_size_bucket,primary_city,skill_domain,days_since_posted,is_senior,is_fresher_friendly,experience_tier,salary_tier
17398,Payments Business Analyst,Tata Consultancy Services,3.3,"Noida, Pune, Bengaluru",Bangalore,Business Analyst,10-20 Yrs,10.0,20.0,0.0,0.0,0.0,False,On-site,Large (1000+),Noida,Business Intelligence,7.0,False,False,Lead/Architect (9+ Yrs),Undisclosed
17399,Servicenow Business Analyst,Harman International,3.8,Hybrid - Bengaluru,Bangalore,Business Analyst,5-8 Yrs,5.0,8.0,15.0,25.0,20.0,True,Hybrid,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Mid (3-5 Yrs),Senior (10-20 LPA)
17400,Business Analyst-Insurance,Capgemini,3.6,Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,7.0,False,False,Mid (3-5 Yrs),Undisclosed
17401,Business Analyst Banking Securities,Tata Consultancy Services,3.3,"Gurugram, Bengaluru",Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Large (1000+),Gurgaon,Business Intelligence,14.0,False,False,Mid (3-5 Yrs),Undisclosed
17402,Business Analyst Banking /Test Associate,Tata Consultancy Services,3.3,Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,10.0,20.0,15.0,True,On-site,Large (1000+),Bangalore,Business Intelligence,7.0,False,False,Mid (3-5 Yrs),Senior (10-20 LPA)
17403,Capital Market Business Analyst,Tata Consultancy Services,3.3,"Gurugram, Chennai, Bengaluru",Bangalore,Business Analyst,8-10 Yrs,8.0,10.0,0.0,0.0,0.0,False,On-site,Large (1000+),Gurgaon,Business Intelligence,14.0,False,False,Senior (6-8 Yrs),Undisclosed
17404,Business Analyst Core Banking,Tata Consultancy Services,3.3,"Chennai, Bengaluru, Mumbai (All Areas)",Bangalore,Business Analyst,10-20 Yrs,10.0,20.0,15.0,30.0,22.5,True,On-site,Large (1000+),Chennai,Business Intelligence,14.0,False,False,Lead/Architect (9+ Yrs),Senior (10-20 LPA)
17405,"Lead, ERP Business Analyst",Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,6-10 Yrs,6.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Senior (6-8 Yrs),Undisclosed
17406,Lead ERP Business Analyst,Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,8-10 Yrs,8.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Senior (6-8 Yrs),Undisclosed
17407,"Lead, ERP Business Analyst SAP PP",Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,5-8 Yrs,5.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Mid (3-5 Yrs),Undisclosed
