job_id,role_category,skill,core_skill,job_title,company_name,scraped_city,experience_tier,work_mode,salary_midpoint_lpa,salary_disclosed,salary_tier
3433,Data Scientist,data engineering,Data Engineering,Power BI Data Analyst / Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3434,Data Scientist,mysql,SQL,Sr Analyst I Data Engineering,DXC Technology,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3435,Data Scientist,data engineering,Data Engineering,GCP Senior Data Engineers : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3435,Data Scientist,gcp,GCP,GCP Senior Data Engineers : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3435,Data Scientist,cloud,Cloud,GCP Senior Data Engineers : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3436,Data Scientist,data engineering,Data Engineering,Azure Senior Data Engineers : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3437,Data Scientist,sql coding,SQL,Senior Data Engineer,Cybernetics Controls,Chennai,Fresher,On-site,0.0,False,Undisclosed
3437,Data Scientist,pyspark,PySpark,Senior Data Engineer,Cybernetics Controls,Chennai,Fresher,On-site,0.0,False,Undisclosed
3438,Data Scientist,data engineering,Data Engineering,Data Engineer,Deloitte US-India Offices,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3438,Data Scientist,data modeling,Data Modeling,Data Engineer,Deloitte US-India Offices,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3438,Data Scientist,machine learning,Machine Learning,Data Engineer,Deloitte US-India Offices,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3438,Data Scientist,aws,AWS,Data Engineer,Deloitte US-India Offices,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3438,Data Scientist,python,Python,Data Engineer,Deloitte US-India Offices,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3439,Data Scientist,python,Python,"Hadoop, Spark, Scala Data Engineer",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3439,Data Scientist,data engineering,Data Engineering,"Hadoop, Spark, Scala Data Engineer",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3440,Data Scientist,pyspark,PySpark,Data Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3440,Data Scientist,data engineering,Data Engineering,Data Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3440,Data Scientist,python,Python,Data Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3440,Data Scientist,data analysis,Data Analysis,Data Engineer,Accenture,Chennai,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
3441,Data Scientist,pyspark,PySpark,Data Analyst,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3441,Data Scientist,python,Python,Data Analyst,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3441,Data Scientist,agile process,Agile,Data Analyst,Capgemini,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3442,Data Scientist,data analysis,Data Analysis,Data Analyst - Service Now,Virtusa,Chennai,Senior (6-8 Yrs),Hybrid,0.0,False,Undisclosed
3442,Data Scientist,data modeling,Data Modeling,Data Analyst - Service Now,Virtusa,Chennai,Senior (6-8 Yrs),Hybrid,0.0,False,Undisclosed
3443,Data Scientist,data analysis,Data Analysis,Data Analyst,Digital Glyde,Chennai,Fresher,On-site,0.0,False,Undisclosed
3443,Data Scientist,excel,Excel,Data Analyst,Digital Glyde,Chennai,Fresher,On-site,0.0,False,Undisclosed
3443,Data Scientist,power bi,Power BI,Data Analyst,Digital Glyde,Chennai,Fresher,On-site,0.0,False,Undisclosed
3444,Data Scientist,python,Python,Data Verification Analyst,Foundation Ai,Chennai,Fresher,On-site,0.0,False,Undisclosed
3444,Data Scientist,data analysis,Data Analysis,Data Verification Analyst,Foundation Ai,Chennai,Fresher,On-site,0.0,False,Undisclosed
3444,Data Scientist,data mining,Data Mining,Data Verification Analyst,Foundation Ai,Chennai,Fresher,On-site,0.0,False,Undisclosed
3446,Data Scientist,data engineering,Data Engineering,Microsoft Fabric - Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3446,Data Scientist,sql,SQL,Microsoft Fabric - Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3446,Data Scientist,power bi integration,Power BI,Microsoft Fabric - Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3446,Data Scientist,python,Python,Microsoft Fabric - Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3447,Data Scientist,data engineering,Data Engineering,Senior Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3447,Data Scientist,python,Python,Senior Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3448,Data Scientist,gcp,GCP,GCP Senior Data Engineers,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
